id,wkt
1,POINT (11.953310012817383 13.713502883911133)
2,"POLYGON ((13.153310012817382 13.713502883911133, 13.130252349301259 13.479394497491779, 13.061965451830927 13.254282765073025, 12.951073547580437 13.04681860428761, 12.80183815024124 12.864974746487276, 12.619994292440905 12.715739349148079, 12.41253013165549 12.604847444897588, 12.187418399236737 12.536560547427257, 11.953310012817383 12.513502883911134, 11.719201626398029 12.536560547427257, 11.494089893979275 12.604847444897588, 11.28662573319386 12.715739349148079, 11.104781875393526 12.864974746487276, 10.955546478054329 13.04681860428761, 10.844654573803838 13.254282765073025, 10.776367676333507 13.47939449749178, 10.753310012817384 13.713502883911135, 10.776367676333507 13.947611270330487, 10.84465457380384 14.172723002749242, 10.95554647805433 14.380187163534657, 11.104781875393527 14.562031021334992, 11.286625733193862 14.711266418674189, 11.494089893979277 14.822158322924677, 11.719201626398032 14.89044522039501, 11.953310012817386 14.913502883911132, 12.18741839923674 14.890445220395009, 12.412530131655494 14.822158322924675, 12.619994292440909 14.711266418674185, 12.801838150241243 14.562031021334986, 12.951073547580439 14.380187163534652, 13.061965451830929 14.172723002749237, 13.13025234930126 13.947611270330482, 13.153310012817382 13.713502883911133))"
3,POINT (7.200685501098633 13.713502883911133)
,"POLYGON ((8.400685501098632 13.713502883911133, 8.377627837582509 13.479394497491779, 8.309340940112177 13.254282765073025, 8.198449035861687 13.04681860428761, 8.04921363852249 12.864974746487276, 7.867369780722155 12.715739349148079, 7.65990561993674 12.604847444897588, 7.434793887517987 12.536560547427257, 7.200685501098633 12.513502883911134, 6.9665771146792785 12.536560547427257, 6.741465382260525 12.604847444897588, 6.53400122147511 12.715739349148079, 6.352157363674776 12.864974746487276, 6.202921966335579 13.04681860428761, 6.0920300620850885 13.254282765073025, 6.023743164614756 13.47939449749178, 6.000685501098633 13.713502883911135, 6.023743164614757 13.947611270330487, 6.092030062085089 14.172723002749242, 6.2029219663355795 14.380187163534657, 6.3521573636747775 14.562031021334992, 6.534001221475112 14.711266418674189, 6.741465382260527 14.822158322924677, 6.966577114679281 14.89044522039501, 7.2006855010986355 14.913502883911132, 7.43479388751799 14.890445220395009, 7.659905619936744 14.822158322924675, 7.867369780722159 14.711266418674185, 8.049213638522493 14.562031021334986, 8.198449035861689 14.380187163534652, 8.309340940112179 14.172723002749237, 8.37762783758251 13.947611270330482, 8.400685501098632 13.713502883911133))"
,POINT (7.200685501098633 15.897615432739258)
,"POLYGON ((8.400685501098632 15.897615432739258, 8.377627837582509 15.663507046319904, 8.309340940112177 15.43839531390115, 8.198449035861687 15.230931153115735, 8.04921363852249 15.0490872953154, 7.867369780722155 14.899851897976204, 7.65990561993674 14.788959993725713, 7.434793887517987 14.720673096255382, 7.200685501098633 14.697615432739259, 6.9665771146792785 14.720673096255382, 6.741465382260525 14.788959993725713, 6.53400122147511 14.899851897976204, 6.352157363674776 15.0490872953154, 6.202921966335579 15.230931153115735, 6.0920300620850885 15.43839531390115, 6.023743164614756 15.663507046319905, 6.000685501098633 15.89761543273926, 6.023743164614757 16.131723819158612, 6.092030062085089 16.356835551577365, 6.2029219663355795 16.564299712362782, 6.3521573636747775 16.746143570163117, 6.534001221475112 16.895378967502314, 6.741465382260527 17.006270871752804, 6.966577114679281 17.074557769223134, 7.2006855010986355 17.097615432739257, 7.43479388751799 17.074557769223134, 7.659905619936744 17.0062708717528, 7.867369780722159 16.89537896750231, 8.049213638522493 16.746143570163113, 8.198449035861689 16.56429971236278, 8.309340940112179 16.356835551577362, 8.37762783758251 16.13172381915861, 8.400685501098632 15.897615432739258))"
,POINT (7.200685501098633 15.897706985473633)
,"POLYGON ((8.400685501098632 15.897706985473633, 8.377627837582509 15.663598599054279, 8.309340940112177 15.438486866635525, 8.198449035861687 15.23102270585011, 8.04921363852249 15.049178848049776, 7.867369780722155 14.899943450710579, 7.65990561993674 14.789051546460088, 7.434793887517987 14.720764648989757, 7.200685501098633 14.697706985473634, 6.9665771146792785 14.720764648989757, 6.741465382260525 14.789051546460088, 6.53400122147511 14.899943450710579, 6.352157363674776 15.049178848049776, 6.202921966335579 15.23102270585011, 6.0920300620850885 15.438486866635525, 6.023743164614756 15.66359859905428, 6.000685501098633 15.897706985473635, 6.023743164614757 16.131815371892987, 6.092030062085089 16.35692710431174, 6.2029219663355795 16.564391265097157, 6.3521573636747775 16.74623512289749, 6.534001221475112 16.89547052023669, 6.741465382260527 17.00636242448718, 6.966577114679281 17.07464932195751, 7.2006855010986355 17.097706985473632, 7.43479388751799 17.07464932195751, 7.659905619936744 17.006362424487175, 7.867369780722159 16.895470520236685, 8.049213638522493 16.746235122897488, 8.198449035861689 16.564391265097154, 8.309340940112179 16.356927104311737, 8.37762783758251 16.131815371892984, 8.400685501098632 15.897706985473633))"
,POINT (11.953310012817383 15.897706985473633)
,"POLYGON ((13.153310012817382 15.897706985473633, 13.130252349301259 15.663598599054279, 13.061965451830927 15.438486866635525, 12.951073547580437 15.23102270585011, 12.80183815024124 15.049178848049776, 12.619994292440905 14.899943450710579, 12.41253013165549 14.789051546460088, 12.187418399236737 14.720764648989757, 11.953310012817383 14.697706985473634, 11.719201626398029 14.720764648989757, 11.494089893979275 14.789051546460088, 11.28662573319386 14.899943450710579, 11.104781875393526 15.049178848049776, 10.955546478054329 15.23102270585011, 10.844654573803838 15.438486866635525, 10.776367676333507 15.66359859905428, 10.753310012817384 15.897706985473635, 10.776367676333507 16.131815371892987, 10.84465457380384 16.35692710431174, 10.95554647805433 16.564391265097157, 11.104781875393527 16.74623512289749, 11.286625733193862 16.89547052023669, 11.494089893979277 17.00636242448718, 11.719201626398032 17.07464932195751, 11.953310012817386 17.097706985473632, 12.18741839923674 17.07464932195751, 12.412530131655494 17.006362424487175, 12.619994292440909 16.895470520236685, 12.801838150241243 16.746235122897488, 12.951073547580439 16.564391265097154, 13.061965451830929 16.356927104311737, 13.13025234930126 16.131815371892984, 13.153310012817382 15.897706985473633))"
