id,wkt
1,"POLYGON ((7.200685501098633 12.513502883911134, 6.9665771146792785 12.536560547427257, 6.741465382260524 12.604847444897588, 6.53400122147511 12.715739349148079, 6.352157363674776 12.864974746487276, 6.202921966335579 13.04681860428761, 6.0920300620850885 13.254282765073025, 6.023743164614756 13.479394497491779, 6.000685501098633 13.713502883911133, 6.023743164614756 13.947611270330487, 6.0920300620850885 14.17272300274924, 6.202921966335579 14.380187163534655, 6.352157363674776 14.56203102133499, 6.53400122147511 14.711266418674187, 6.741465382260525 14.822158322924677, 6.966577114679279 14.890445220395009, 7.200685501098633 14.913502883911132, 11.953310012817383 14.913502883911132, 12.187418399236737 14.890445220395009, 12.41253013165549 14.822158322924677, 12.619994292440905 14.711266418674187, 12.80183815024124 14.56203102133499, 12.951073547580437 14.380187163534655, 13.061965451830927 14.17272300274924, 13.130252349301259 13.947611270330487, 13.153310012817382 13.713502883911133, 13.130252349301259 13.479394497491779, 13.061965451830927 13.254282765073025, 12.951073547580437 13.04681860428761, 12.80183815024124 12.864974746487276, 12.619994292440905 12.715739349148079, 12.41253013165549 12.604847444897588, 12.187418399236735 12.536560547427257, 11.953310012817383 12.513502883911134, 7.200685501098633 12.513502883911134))"
2,"POLYGON ((6.000685501098633 15.897615432739258, 6.023743164614756 16.131723819158612, 6.0920300620850885 16.356835551577365, 6.202921966335579 16.564299712362782, 6.352157363674776 16.746143570163113, 6.53400122147511 16.895378967502314, 6.741465382260525 17.0062708717528, 6.9665771146792785 17.074557769223134, 7.200685501098633 17.097615432739257, 7.434793887517987 17.074557769223134, 7.65990561993674 17.0062708717528, 7.867369780722155 16.895378967502314, 8.04921363852249 16.746143570163113, 8.198449035861687 16.56429971236278, 8.309340940112177 16.356835551577365, 8.377627837582509 16.131723819158612, 8.400685501098632 15.897615432739258, 8.400685501098632 13.713502883911133, 8.377627837582509 13.479394497491779, 8.309340940112177 13.254282765073025, 8.198449035861687 13.04681860428761, 8.04921363852249 12.864974746487276, 7.867369780722155 12.715739349148079, 7.65990561993674 12.604847444897588, 7.434793887517987 12.536560547427257, 7.200685501098633 12.513502883911134, 6.9665771146792785 12.536560547427257, 6.741465382260525 12.604847444897588, 6.53400122147511 12.715739349148079, 6.352157363674776 12.864974746487276, 6.202921966335579 13.04681860428761, 6.0920300620850885 13.254282765073025, 6.023743164614756 13.47939449749178, 6.000685501098633 13.713502883911133, 6.000685501098633 15.897615432739258))"
3,"POLYGON ((6.000685501098633 15.897706985473633, 6.023743164614756 16.131815371892987, 6.0920300620850885 16.35692710431174, 6.202921966335579 16.564391265097157, 6.352157363674776 16.746235122897488, 6.53400122147511 16.89547052023669, 6.741465382260525 17.006362424487175, 6.9665771146792785 17.07464932195751, 7.200685501098633 17.097706985473632, 7.434793887517987 17.07464932195751, 7.65990561993674 17.006362424487175, 7.867369780722155 16.89547052023669, 8.04921363852249 16.746235122897488, 8.198449035861687 16.564391265097154, 8.309340940112177 16.35692710431174, 8.377627837582509 16.131815371892987, 8.400685501098632 15.897706985473633, 8.400685501098632 15.897615432739258, 8.377627837582509 15.663507046319904, 8.309340940112177 15.43839531390115, 8.198449035861687 15.230931153115735, 8.04921363852249 15.0490872953154, 7.867369780722155 14.899851897976204, 7.65990561993674 14.788959993725713, 7.434793887517987 14.720673096255382, 7.200685501098633 14.697615432739259, 6.9665771146792785 14.720673096255382, 6.741465382260525 14.788959993725713, 6.53400122147511 14.899851897976204, 6.352157363674776 15.0490872953154, 6.202921966335579 15.230931153115735, 6.0920300620850885 15.43839531390115, 6.023743164614756 15.663507046319905, 6.000685501098633 15.897615432739258, 6.000685501098633 15.897706985473633))"
,"POLYGON ((11.953310012817383 17.097706985473632, 12.187418399236737 17.07464932195751, 12.41253013165549 17.006362424487175, 12.619994292440905 16.895470520236685, 12.80183815024124 16.746235122897488, 12.951073547580437 16.564391265097157, 13.061965451830927 16.35692710431174, 13.130252349301259 16.131815371892987, 13.153310012817382 15.897706985473633, 13.130252349301259 15.663598599054279, 13.061965451830927 15.438486866635525, 12.951073547580437 15.23102270585011, 12.80183815024124 15.049178848049776, 12.619994292440905 14.899943450710579, 12.41253013165549 14.789051546460088, 12.187418399236735 14.720764648989757, 11.953310012817383 14.697706985473634, 7.200685501098633 14.697706985473634, 6.9665771146792785 14.720764648989757, 6.741465382260524 14.789051546460088, 6.53400122147511 14.899943450710579, 6.352157363674776 15.049178848049776, 6.202921966335579 15.23102270585011, 6.0920300620850885 15.438486866635525, 6.023743164614756 15.663598599054279, 6.000685501098633 15.897706985473633, 6.023743164614756 16.131815371892987, 6.0920300620850885 16.35692710431174, 6.202921966335579 16.564391265097157, 6.352157363674776 16.746235122897488, 6.53400122147511 16.89547052023669, 6.741465382260525 17.00636242448718, 6.966577114679279 17.07464932195751, 7.200685501098633 17.097706985473632, 11.953310012817383 17.097706985473632))"
,"POLYGON ((13.153310012817382 13.713502883911133, 13.130252349301259 13.479394497491779, 13.061965451830927 13.254282765073025, 12.951073547580437 13.04681860428761, 12.80183815024124 12.864974746487276, 12.619994292440905 12.715739349148079, 12.41253013165549 12.604847444897588, 12.187418399236737 12.536560547427257, 11.953310012817383 12.513502883911134, 11.719201626398029 12.536560547427257, 11.494089893979275 12.604847444897588, 11.28662573319386 12.715739349148079, 11.104781875393526 12.864974746487276, 10.955546478054329 13.04681860428761, 10.844654573803838 13.254282765073025, 10.776367676333507 13.47939449749178, 10.753310012817384 13.713502883911133, 10.753310012817384 15.897706985473633, 10.776367676333507 16.131815371892987, 10.844654573803838 16.35692710431174, 10.955546478054329 16.564391265097157, 11.104781875393526 16.746235122897488, 11.28662573319386 16.89547052023669, 11.494089893979275 17.006362424487175, 11.719201626398029 17.07464932195751, 11.953310012817383 17.097706985473632, 12.187418399236737 17.07464932195751, 12.41253013165549 17.006362424487175, 12.619994292440905 16.89547052023669, 12.80183815024124 16.746235122897488, 12.951073547580437 16.564391265097154, 13.061965451830927 16.35692710431174, 13.130252349301259 16.131815371892987, 13.153310012817382 15.897706985473633, 13.153310012817382 13.713502883911133))"
,"POLYGON ((12.175671386718752 15.377685546875005, 12.198729050234876 15.61179393329436, 12.267015947705207 15.836905665713113, 12.377907851955698 16.044369826498528, 12.527143249294895 16.226213684298862, 12.70898710709523 16.37544908163806, 12.916451267880644 16.48634098588855, 13.141563000299398 16.554627883358883, 13.375671386718752 16.577685546875006, 13.609779773138106 16.554627883358883, 13.83489150555686 16.48634098588855, 14.042355666342274 16.37544908163806, 14.224199524142609 16.226213684298862, 14.373434921481806 16.044369826498528, 14.484326825732296 15.836905665713113, 14.55261372320263 15.611793933294358, 14.575671386718751 15.377685546875005, 14.575671386718751 15.377561445947359, 14.552613723202628 15.143453059528005, 14.484326825732296 14.918341327109252, 14.373434921481806 14.710877166323836, 14.224199524142609 14.529033308523502, 14.042355666342274 14.379797911184305, 13.83489150555686 14.268906006933815, 13.609779773138106 14.200619109463483, 13.375671386718752 14.17756144594736, 13.141563000299398 14.200619109463483, 12.916451267880644 14.268906006933815, 12.70898710709523 14.379797911184305, 12.527143249294895 14.529033308523502, 12.377907851955698 14.710877166323836, 12.267015947705207 14.918341327109252, 12.198729050234874 15.143453059528007, 12.175671386718752 15.377561445947359, 12.175671386718752 15.377685546875005))"
,"POLYGON ((16.74072265625 16.577685546875006, 16.974831042669354 16.554627883358883, 17.199942775088108 16.48634098588855, 17.407406935873524 16.37544908163806, 17.589250793673855 16.226213684298862, 17.738486191013052 16.044369826498528, 17.849378095263543 15.836905665713113, 17.917664992733876 15.61179393329436, 17.94072265625 15.377685546875005, 17.917664992733876 15.143577160455651, 17.849378095263543 14.918465428036898, 17.738486191013056 14.711001267251483, 17.589250793673855 14.529157409451148, 17.40740693587352 14.379922012111951, 17.199942775088108 14.269030107861461, 16.974831042669354 14.200743210391128, 16.74072265625 14.177685546875006, 13.375671386718752 14.177685546875006, 13.141563000299398 14.20074321039113, 12.916451267880644 14.269030107861461, 12.70898710709523 14.379922012111951, 12.527143249294895 14.529157409451148, 12.377907851955698 14.711001267251483, 12.267015947705207 14.918465428036898, 12.198729050234876 15.143577160455651, 12.175671386718752 15.377685546875005, 12.198729050234876 15.61179393329436, 12.267015947705207 15.836905665713113, 12.377907851955698 16.044369826498528, 12.527143249294895 16.226213684298862, 12.70898710709523 16.37544908163806, 12.916451267880644 16.48634098588855, 13.1415630002994 16.554627883358883, 13.375671386718752 16.577685546875006, 16.74072265625 16.577685546875006))"
,"POLYGON ((17.94072265625 13.228088378906252, 17.917664992733876 12.993979992486898, 17.849378095263543 12.768868260068144, 17.738486191013052 12.56140409928273, 17.589250793673855 12.379560241482395, 17.407406935873524 12.230324844143198, 17.199942775088108 12.119432939892707, 16.974831042669354 12.051146042422376, 16.74072265625 12.028088378906252, 16.506614269830646 12.051146042422376, 16.281502537411892 12.119432939892707, 16.07403837662648 12.230324844143198, 15.892194518826143 12.379560241482395, 15.742959121486946 12.56140409928273, 15.632067217236456 12.768868260068144, 15.563780319766124 12.9939799924869, 15.54072265625 13.228088378906252, 15.54072265625 15.377685546875005, 15.563780319766124 15.61179393329436, 15.632067217236456 15.836905665713113, 15.742959121486946 16.044369826498528, 15.892194518826143 16.226213684298862, 16.07403837662648 16.37544908163806, 16.281502537411892 16.48634098588855, 16.506614269830646 16.554627883358883, 16.74072265625 16.577685546875006, 16.974831042669354 16.554627883358883, 17.199942775088108 16.48634098588855, 17.40740693587352 16.37544908163806, 17.589250793673855 16.226213684298862, 17.738486191013056 16.044369826498528, 17.849378095263546 15.836905665713113, 17.917664992733876 15.611793933294358, 17.94072265625 15.377685546875005, 17.94072265625 13.228088378906252))"
,"POLYGON ((13.375671386718752 12.028088378906252, 13.141563000299398 12.051146042422376, 12.916451267880644 12.119432939892707, 12.70898710709523 12.230324844143198, 12.527143249294895 12.379560241482395, 12.377907851955698 12.56140409928273, 12.267015947705207 12.768868260068144, 12.198729050234876 12.993979992486898, 12.175671386718752 13.228088378906252, 12.198729050234876 13.462196765325606, 12.267015947705207 13.68730849774436, 12.377907851955698 13.894772658529774, 12.527143249294895 14.076616516330109, 12.70898710709523 14.225851913669306, 12.916451267880644 14.336743817919796, 13.1415630002994 14.40503071539013, 13.375671386718752 14.428088378906251, 16.74072265625 14.428088378906251, 16.974831042669354 14.405030715390128, 17.199942775088108 14.336743817919796, 17.407406935873524 14.225851913669306, 17.589250793673855 14.076616516330109, 17.738486191013052 13.894772658529774, 17.849378095263543 13.68730849774436, 17.917664992733876 13.462196765325606, 17.94072265625 13.228088378906252, 17.917664992733876 12.993979992486898, 17.849378095263543 12.768868260068144, 17.738486191013056 12.56140409928273, 17.589250793673855 12.379560241482395, 17.40740693587352 12.230324844143198, 17.199942775088108 12.119432939892707, 16.974831042669354 12.051146042422374, 16.74072265625 12.028088378906252, 13.375671386718752 12.028088378906252))"
,"POLYGON ((12.175671386718752 15.377561445947359, 12.198729050234876 15.611669832366713, 12.267015947705207 15.836781564785467, 12.377907851955698 16.04424572557088, 12.527143249294895 16.226089583371216, 12.70898710709523 16.375324980710413, 12.916451267880644 16.486216884960903, 13.141563000299398 16.554503782431237, 13.375671386718752 16.57756144594736, 13.609779773138106 16.554503782431237, 13.83489150555686 16.486216884960903, 14.042355666342274 16.375324980710413, 14.224199524142609 16.226089583371216, 14.373434921481806 16.04424572557088, 14.484326825732296 15.836781564785467, 14.55261372320263 15.611669832366712, 14.575671386718751 15.377561445947359, 14.575671386718751 13.228088378906252, 14.552613723202628 12.993979992486898, 14.484326825732296 12.768868260068144, 14.373434921481806 12.56140409928273, 14.224199524142609 12.379560241482395, 14.042355666342274 12.230324844143198, 13.83489150555686 12.119432939892707, 13.609779773138106 12.051146042422376, 13.375671386718752 12.028088378906252, 13.141563000299398 12.051146042422376, 12.916451267880644 12.119432939892707, 12.70898710709523 12.230324844143198, 12.527143249294895 12.379560241482395, 12.377907851955698 12.56140409928273, 12.267015947705207 12.768868260068144, 12.198729050234874 12.9939799924869, 12.175671386718752 13.228088378906252, 12.175671386718752 15.377561445947359))"
